name,avg,x,y
首都机场,57.62235116929376,116.598298,40.085124
顺义其它,69.73263176665517,116.662892,40.136804
溪翁庄镇,45.033502075175214,116.84581,40.479474
马坡,45.569259916457405,116.664351,40.183857
后沙峪,81.90134588873669,116.558161,40.111604
密云其它,30.77990188563588,116.77461,40.33159
密云镇,35.883702205537034,117.284632,40.661046
李桥,39.33294609592212,116.673575,40.048749
顺义城,49.046870868400234,116.723107,40.101182
中央别墅区,101.41043588538653,116.567102,40.060242
果园街道,24.93139402261446,116.842298,40.384978
古北口镇,37.840196169080215,117.284632,40.661046
鼓楼街道,24.394179855915354,116.847038,40.374588
城子,48.39647191854914,117.142059,40.587937
大峪,50.19711553114055,116.113463,39.936558
滨河西区,51.28480062280248,116.345718,39.759288
