name,avg,x,y
三河,15.456705876516875,117.098933,39.978563
大厂县城商圈,11.010101007255022,116.934075,39.96183
燕顺路东商圈,18.02883902968312,116.797318,39.949627
潮白商圈,15.24363108898,116.884112,39.882852
燕顺路西商圈,18.718261233925062,116.786825,39.969249
夏威夷商圈,20.807491595517654,116.830385,39.914296
天洋城商圈,21.72410837470907,116.827267,39.970778
理想新城商圈,19.1400060560225,117.081149,40.000357
安次,17.04912052581343,116.671737,39.483116
香河,12.536769108757312,116.996947,39.787148
嘉都商圈,16.970956751745295,116.831818,40.051135
开发区其它,16.308796590670575,116.651415,38.712767
金谷商圈,19.649089287458104,116.816246,40.026382
首尔甜城商圈,21.089440967227425,116.788835,40.008369
广阳,18.611808498680123,116.686649,39.543113
天洋城4代商圈,19.631427808680467,116.828804,39.927276
固安,14.408790405647379,116.310305,39.448044
102国道商圈,19.108639448100558,116.851671,39.952429
燕京航城商圈,20.31282919543743,116.807745,39.97758
夏垫商圈,14.982603861743781,116.920708,39.959598
永旺商圈,16.393460434120325,116.872292,39.954195
华北科技学院商圈,18.602980639807527,116.811287,39.958398
汇福悦榕湾商圈,22.87332026060024,116.77941,39.963005
福成四期商圈,19.67508219997475,116.833039,39.956718
港中旅商圈,19.844829749848472,116.805934,39.92417
东贸潮白商圈,22.057617150644045,116.797318,39.949627
